track_name,section,start_time,end_time,text
The Signal Breaking Through the Noise,CHORUS,0.0,180.0,I am the signal breaking through the noise...
Before the Fade,CHORUS,0.0,90.0,Still I rise before the fade
Before the Fade,CHORUS,90.0,180.0,Still I chase the light I made...
Borrowed Flame,CHORUS,0.0,180.0,I won't ride with the choir anymore...
System Override,BREAKDOWN,0.0,30.0,System override
System Override,BREAKDOWN,30.0,60.0,Neon in the veins
System Override,BREAKDOWN,60.0,90.0,Modulation engaged
System Override,BREAKDOWN,90.0,120.0,Enter the grid
Learning How to Stay,CHORUS,0.0,90.0,I'm still learning how to stay
Learning How to Stay,CHORUS,90.0,180.0,While the world rewrites its name...
