"#","Track Name","Prompt","Lyrics (key excerpt/theme)"
"1","The Signal Breaking Through the Noise","A melancholic yet euphoric 136 BPM Progressive Trance song about surviving grief and silence and finding your own frequency — infinite dawn landscape, electric blue horizon. Smooth breathy female lead, whispered male vocal in breakdown, four-on-the-floor kick, supersaw chords, minor-key arpeggiator leadhappyshrimp","Structure: Verse–Verse–Pre-Chorus–Chorus(""I am the signal breaking through the noise..."")–Breakdown–Build-Up–Verse–Final Chorushappyshrimp"
"2","The Signal breaking through the Noise (variation)","Same prompt as #1happyshrimp","Same lyrics as #1happyshrimp"
"3","Before the Fade","Nocturnal future-garage, low-130s BPM, loose swung rhythm, warm modulating sub-bass, foggy reverb pads, intimate breathy male lead, minor-key harmony, spacious headphone-focused mix, introspective tonehappyshrimp","Theme: rising before the fade, chasing self-made light, becoming who tomorrow makes you. Chorus: ""Still I rise before the fade / Still I chase the light I made...""happyshrimp"
"4","Still I Rise (variation)","Same prompt as #3happyshrimp","Same lyrics as #3happyshrimp"
"5","Borrowed Flame","Classic 90s West Coast G-Funk, smooth laid-back groove, sine wave synth lead, heavy melodic bassline, female rap vocals (UK accent), AK-47 gunshot FX texture, 92 BPMhappyshrimp","Theme: rejecting manufactured media panic, reclaiming peace. Chorus: ""I won't ride with the choir anymore...""happyshrimp"
"6","I Won't Ride with the Choir (variation)","Same prompt as #5happyshrimp","Same lyrics as #5happyshrimp"
"7","Take the Crown","Drift phonk, 145-155 BPM, aggressive cowbell, distorted sub-808 bass, chopped dark vocal samples, minor-key synth stabs, triumphant dark-to-light arc about burning away self-doubt through growthhappyshrimp","Theme: stepping out of shadow into confidence. ""Step out the shadow / Burn it to the ground / Watch the new king / Take the crown""happyshrimp"
"8","Built by Fire (same prompt as #7, different lyric take)","Same prompt as #7happyshrimp","Theme: strength forged through hardship. ""Built by fire, built by force / No retreat, I hold my course...""happyshrimp"
"9","System Override","Heavy dubstep/brostep with retro synthwave, aggressive LFO-modulated wobble bass, reese/FM growl tones, glitchy percussion, 80s analog synth pads, neon retro-futuristic backdrophappyshrimp","Short breakdown hook: ""System override / Neon in the veins / Modulation engaged / Enter the grid""happyshrimp"
"10","Learning How to Stay","Neo-noir cyberpunk synth score, 80s analog synth atmosphere, warbling bass pads, mournful sax-style lead, rain-soaked neon mood, 80-90 BPM, theme of exhaustion chasing an ever-changing futurehappyshrimp","Theme: struggling to keep pace with rapid change while learning self-acceptance. Chorus: ""I'm still learning how to stay / While the world rewrites its name...""happyshrimp"
"11","Learning How to Stay V2 (variation)","Same prompt as #10happyshrimp","Same lyrics as #10happyshrimp"
